	investor	{'date': 'invest_date', 'weight': 'company'}
41562	/organization/sig	{'date': '2007-03-07', 'weight': '/organization/uusee'}
14689	/organization/three-arch-partners	{'date': '2008-03-15', 'weight': '/organization/cameron-health'}
87109	/organization/ramius-advisors	{'date': '2005-08-16', 'weight': '/organization/bravosolution'}
83769	/organization/greylock	{'date': '2007-07-20', 'weight': '/organization/coware'}
37479	/organization/lightspeed-venture-partners	{'date': '2007-03-28', 'weight': '/organization/audiopixels'}
27570	/organization/arcapita-ventures	{'date': '2006-06-22', 'weight': '/organization/alloptic'}
87102	/organization/yfm-venture-finance	{'date': '2007-05-02', 'weight': '/organization/object-matrix'}
87105	/person/ron-conway	{'date': '2006-12-01', 'weight': '/organization/bringlight'}
40742	/organization/starfish-ventures	{'date': '2006-12-06', 'weight': '/organization/quickcomm-software-solutions'}
68260	/organization/intel-capital	{'date': '2006-06-21', 'weight': '/organization/navini-networks'}
44421	/organization/espirito-santo-ventures	{'date': '2006-06-01', 'weight': '/organization/nanosolar'}
29813	/organization/cascade-investment	{'date': '2007-09-17', 'weight': '/organization/oanda'}
40968	/organization/jla-ventures	{'date': '2007-01-01', 'weight': '/organization/planeteye'}
40325	/organization/bancboston-ventures	{'date': '2008-01-15', 'weight': '/organization/centric-software'}
1174	/person/jeff-clavier	{'date': '2006-10-27', 'weight': '/organization/mayasmom'}
86283	/person/yat-siu	{'date': '2008-09-14', 'weight': '/organization/dopplr'}
1170	/organization/sofinnova-partners	{'date': '2005-05-26', 'weight': '/organization/sefas-innovation'}
47216	/person/frank-schilling	{'date': '2007-11-01', 'weight': '/organization/sharedreviews'}
23051	/organization/big-bang-ventures	{'date': '2007-09-20', 'weight': '/organization/peoplecube'}
68828	/organization/sequoia-capital	{'date': '2007-11-29', 'weight': '/organization/adbrite'}
100298	/organization/new-enterprise-associates	{'date': '2008-09-04', 'weight': '/organization/aprius'}
31679	/organization/shenzhen-capital-group	{'date': '2008-06-01', 'weight': '/organization/hubei-xunda-pharmaceutical-co-ltd'}
27619	/person/reid-hoffman	{'date': '2008-01-14', 'weight': '/organization/grouply'}
29434	/organization/deep-fork-advisors	{'date': '2008-08-05', 'weight': '/organization/weplay'}
27617	/organization/intel-capital	{'date': '2006-08-03', 'weight': '/organization/tobesoft'}
103396	/organization/novak-biddle-venture-partners	{'date': '2006-09-06', 'weight': '/organization/sennari'}
58701	/organization/blackfin-technology	{'date': '2007-12-31', 'weight': '/organization/bioscale'}
103391	/organization/austin-ventures	{'date': '2008-04-24', 'weight': '/organization/prenova'}
97931	/organization/spark-ventures	{'date': '2007-10-01', 'weight': '/organization/skinkers'}
59036	/organization/tudor-investments	{'date': '2006-10-01', 'weight': '/organization/spotrunner'}
29430	/organization/seed-capital	{'date': '2006-05-16', 'weight': '/organization/celltrix'}
29921	/organization/signal-equity-partners	{'date': '2007-11-09', 'weight': '/organization/infotrieve'}
31234	/organization/qualcomm-ventures	{'date': '2008-04-28', 'weight': '/organization/invensense'}
77973	/organization/tech-coast-angels	{'date': '2008-02-04', 'weight': '/organization/traversa-therapeutics'}
7181	/organization/h-i-g-ventures	{'date': '2007-11-15', 'weight': '/organization/northstar-systems-international'}
92617	/organization/university-of-utah-endowment	{'date': '2008-02-15', 'weight': '/organization/q-holdings'}
29106	/organization/draper-esprit	{'date': '2006-08-30', 'weight': '/organization/zbd-displays'}
72707	/organization/idinvest-partners	{'date': '2008-07-30', 'weight': '/organization/steek-sa'}
79537	/organization/sofimac-partners	{'date': '2007-11-01', 'weight': '/organization/wirecom-technologies'}
84774	/organization/kth-chalmers-capital	{'date': '2006-04-26', 'weight': '/organization/efield'}
76880	/organization/kpg-ventures	{'date': '2007-08-01', 'weight': '/organization/brightroll'}
79530	/organization/truffle-capital	{'date': '2006-01-26', 'weight': '/organization/rf-it-solutions'}
79533	/organization/intel-capital	{'date': '2006-07-06', 'weight': '/organization/enpirion'}
79532	/organization/mtv-networks	{'date': '2006-04-13', 'weight': '/organization/ampd-mobile'}
16881	/organization/techcolumbus-2	{'date': '2008-01-23', 'weight': '/organization/traycer-diagnostic-systems'}
90617	/organization/dcm	{'date': '2008-09-16', 'weight': '/organization/bittorrent'}
91689	/organization/y-combinator	{'date': '2008-01-01', 'weight': '/organization/280-north'}
79538	/organization/palomar-ventures	{'date': '2006-04-13', 'weight': '/organization/network-physics'}
72708	/organization/primaveris	{'date': '2008-02-25', 'weight': '/organization/twinlinx'}
12831	/organization/waldenvc	{'date': '2006-03-01', 'weight': '/organization/snocap'}
53723	/organization/idg-ventures-usa	{'date': '2008-02-01', 'weight': '/organization/vaultus-mobile'}
34558	/organization/gladstone-capital	{'date': '2005-09-12', 'weight': '/organization/visual-edge-technology'}
15288	/organization/cit-gap-funds	{'date': '2007-04-18', 'weight': '/organization/piedmont-bioproducts'}
8018	/organization/dfj-dragonfund	{'date': '2006-04-19', 'weight': '/organization/miartech-shanghai'}
8545	/person/hadi-partovi	{'date': '2005-06-01', 'weight': '/organization/fonality'}
47677	/organization/new-enterprise-associates	{'date': '2007-07-04', 'weight': '/organization/newscale'}
88564	/organization/northzone-ventures	{'date': '2007-01-19', 'weight': '/organization/interse'}
74017	/organization/frazier-technology-ventures	{'date': '2005-04-27', 'weight': '/organization/mobitrac'}
15283	/organization/ip-group-plc	{'date': '2005-08-05', 'weight': '/organization/acsian'}
44935	/organization/jk-b-capital	{'date': '2008-01-22', 'weight': '/organization/nanochip'}
26624	/person/erik-matlick	{'date': '2008-01-01', 'weight': '/organization/fetchback'}
95941	/organization/tif-ventures	{'date': '2007-11-21', 'weight': '/organization/agmi-systems'}
